Country,Latitude,Longitude,extract_date,sex,age_0,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,age_11,age_12,age_13,age_14,age_15,age_16,age_17,age_18,age_19,age_20,age_21,age_22,age_23,age_24,age_25,age_26,age_27,age_28,age_29,age_30,age_31,age_32,age_33,age_34,age_35,age_36,age_37,age_38,age_39,age_40,age_41,age_42,age_43,age_44,age_45,age_46,age_47,age_48,age_49,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89,age_90,age_91,age_92,age_93,age_94,age_95
England,52.56453,-1.467108403,2014-10-01,female,291482.2,329925.8,343753.5,343730.9,341257.3,335257.1,338953.3,327869.3,319326.5,312823.4,308578.0,300543.1,290289.4,294269.6,299795.6,308326.7,316183.2,324427.7,329786.8,338800.4,351309.9,363818.7,385613.0,400983.4,411258.8,402178.0,414183.2,410806.8,409305.6,414440.1,404663.4,405031.3,402318.5,402652.7,407473.2,389489.3,360896.8,347688.7,353199.0,355552.8,364702.4,370895.3,387837.9,404993.7,395692.5,401699.4,403377.2,402989.2,405935.3,408674.4,406879.9,396242.7,387438.3,373326.0,360597.8,351289.4,340594.9,329640.0,319369.8,305385.6,304963.2,304103.6,296252.3,295667.3,299546.0,308172.2,321102.4,359094.5,294679.7,262934.6,271739.6,251153.6,231981.7,203422.1,209711.8,211716.8,205605.3,195605.5,187337.5,177696.2,166075.3,156967.9,152872.9,146133.1,137918.1,125006.1,112384.1,100130.4,91142.1,79814.3,70125.0,60753.9,52423.1,44358.9,40057.2,70879.0
England,52.56453,-1.467108403,2015-01-01,female,290840.9,326318.4,343666.0,342899.8,344070.6,338062.9,340237.3,330582.6,323307.8,313688.8,311130.0,303679.4,292418.6,292626.0,299386.1,307696.1,316156.0,321582.4,329628.1,337428.4,352697.4,363908.3,385753.4,400014.7,415545.6,404679.4,416241.9,414789.2,412023.8,415572.7,409658.1,405373.6,404944.1,402033.4,411305.4,394317.6,368773.4,350211.7,353897.7,353337.8,362743.6,368802.2,384760.7,401198.0,400922.0,399251.4,404503.9,402768.5,404952.1,408801.1,409498.5,398234.9,389640.9,374711.8,367342.5,349136.8,344421.1,333331.9,322166.3,306534.8,305883.4,304472.1,298624.7,292914.0,297722.3,305275.6,316617.4,349438.3,317115.7,257721.9,278609.2,251597.8,237675.5,207210.2,206179.4,210856.9,207100.8,195498.3,188337.7,177817.2,168612.2,155317.0,152943.3,144464.0,139218.7,124360.9,113819.2,99146.6,91535.2,79567.3,69599.6,60500.4,51410.9,43941.3,39316.5,73212.8
England,52.56453,-1.467108403,2015-04-01,female,292220.9,325879.8,339459.5,345486.4,343847.3,340502.6,338653.8,335652.7,325411.4,315795.3,310961.7,307378.1,294265.4,291753.4,297782.6,306533.2,313853.6,320645.9,330572.5,336425.8,350524.8,364766.9,379969.3,401075.3,415192.0,403143.2,413003.8,420736.0,413465.6,414885.5,413320.3,406377.1,404851.6,403682.8,408152.5,400559.8,376272.9,353522.8,350363.2,354457.6,360860.6,365581.9,380580.8,396816.8,404670.9,395101.7,405296.6,402345.6,405780.1,408232.8,408662.2,400540.7,391883.8,379754.0,368384.9,352050.5,346032.4,337428.3,323176.8,310966.0,304936.2,305954.9,297760.2,294020.3,294983.7,304577.3,310562.6,337338.4,340644.8,261197.9,273894.2,256355.9,242405.1,212436.8,202095.4,210635.5,205912.8,198178.5,188102.5,178312.9,168243.0,156383.1,150903.6,143870.1,138008.7,125611.1,112525.9,99564.0,90099.5,79170.4,68638.1,59227.8,50222.1,42986.8,36381.2,74236.4
England,52.56453,-1.467108403,2015-07-01,female,290250.7,325957.0,335216.9,345866.9,345650.8,340908.2,337302.8,340232.3,326541.5,318325.0,312221.6,308577.0,298147.1,290833.1,297071.6,303525.3,312954.6,317788.5,331376.8,332527.7,347089.9,364649.3,375160.7,399292.5,410756.8,403866.7,411769.7,421952.8,416180.4,415864.4,417542.6,406181.2,407319.6,404455.0,405694.2,404461.6,385373.5,357196.2,349204.7,354259.6,359967.7,363749.1,376921.3,391744.6,406036.2,395172.3,404596.6,402325.1,405760.4,406831.0,407971.1,403388.3,393856.0,384097.4,370594.5,356120.0,347774.1,338935.1,326196.2,314740.2,303816.2,305539.3,300297.8,293585.2,294834.5,301300.9,308607.9,325929.2,353920.2,272875.5,264906.8,264163.4,246228.2,221412.4,199193.7,207419.1,205782.8,199603.1,189210.8,179621.2,170020.9,157543.8,149483.9,144888.4,136673.0,127368.4,113431.0,100601.5,89786.3,79481.1,68717.8,59184.6,50274.3,42477.4,35610.6,77223.9
England,52.56453,-1.467108403,2015-10-01,female,290557.5,325373.9,333763.5,346680.9,346355.6,343112.7,337637.8,341661.7,330255.6,321856.1,315191.2,310965.0,302867.0,292748.1,296866.7,302532.0,311451.6,319546.6,334505.1,336498.7,347995.3,363239.7,375754.7,400049.3,410228.2,407959.5,410959.6,425590.9,418990.9,415762.7,421303.5,409894.9,409066.1,406317.0,405910.7,410343.0,391813.0,363459.0,349987.4,355265.7,357219.3,366273.6,372506.7,389097.6,406103.7,396687.1,402410.1,404132.5,403421.2,406335.8,408815.8,406760.4,396143.4,387330.0,373065.4,360464.0,350704.8,339855.3,328938.8,318538.5,304330.2,303768.5,302813.6,294698.9,294003.4,297624.8,305956.8,318523.1,355857.0,291652.3,259916.9,268316.8,247684.1,228273.0,199565.9,205369.2,206856.7,200245.7,189911.1,181110.7,170965.5,158872.7,149246.0,144295.7,136617.6,128006.0,114641.1,101911.4,89383.1,80152.4,68947.2,59426.9,50397.4,42609.0,35048.4,79999.6
England,52.56453,-1.467108403,2016-01-01,female,292075.2,325051.9,330255.2,346683.3,345548.1,346095.7,340343.3,342940.4,333025.1,325855.4,316049.0,313624.7,306044.0,295082.1,295165.4,302250.3,311005.9,319682.5,329773.8,340351.0,349386.9,364971.9,378858.5,401932.3,410108.8,412876.7,413936.3,427116.1,423184.9,418880.1,422425.5,415014.7,409455.2,408743.7,405576.7,414282.8,396673.9,371364.7,352538.8,355990.6,355071.6,364336.4,370375.4,386196.6,402412.1,402135.4,400099.4,405189.4,403310.7,405303.1,409131.4,409482.8,398242.7,389591.4,374683.3,367103.1,348752.8,343613.6,332688.9,321358.4,305434.2,304824.9,303248.4,297074.6,291206.3,295806.7,303217.8,314106.1,346458.5,313964.3,254807.2,275127.9,248234.5,234031.5,203352.8,201999.2,206164.6,201846.4,190035.5,182201.0,171194.0,161272.2,147845.0,144588.3,135312.3,129265.1,114194.9,103355.0,88701.8,80720.3,68719.6,59197.0,50410.5,41879.8,34983.1,81882.3
England,52.56453,-1.467108403,2016-04-01,female,294554.0,323930.1,329909.9,342528.2,348162.3,345899.2,342924.3,341366.3,338278.9,327883.8,318215.2,313383.8,309732.5,296928.3,294330.5,300526.0,309755.8,317664.7,328098.8,341693.7,348130.1,362603.2,379397.2,396938.4,412114.2,411252.7,414464.5,423971.9,428432.9,420300.3,421814.5,418469.4,410614.8,408534.1,407069.9,410959.6,403058.5,378440.5,355682.6,352374.2,356182.2,362347.5,367115.0,381946.5,398116.3,405778.2,396016.2,405881.5,402853.1,405937.7,408388.3,408655.2,400406.2,391798.5,379715.5,367971.8,351617.3,345284.5,336511.8,322388.4,309737.8,303775.9,304599.4,296204.8,292300.2,292898.6,302406.7,308143.0,334362.3,337254.4,258208.5,270459.5,252997.6,238682.5,208609.4,197954.4,205963.5,200827.9,192696.9,182107.9,172004.7,161246.7,148967.6,142714.3,135064.3,128494.1,115751.8,102576.2,89502.8,79884.1,68877.2,58823.4,49730.8,41387.9,34723.5,82145.1
England,52.56453,-1.467108403,2016-07-01,female,295849.6,323880.6,329989.6,338208.1,348604.2,347654.3,343338.4,340099.1,342969.8,328989.5,320777.6,314666.0,311051.3,300620.6,293556.8,299725.0,306507.3,316865.2,324154.5,342788.3,344345.7,359261.9,378834.7,392978.1,411347.9,408470.5,416502.2,423393.9,429917.6,422962.3,423102.3,422894.8,410214.8,411149.1,407617.0,408700.2,406830.2,387557.5,359137.5,351344.5,355977.8,361536.8,365346.7,378194.2,392993.0,407128.8,396168.1,405198.1,402924.5,406000.5,406906.0,407956.3,403179.8,393714.8,384069.0,370094.1,355492.0,346927.6,338105.0,325433.1,313413.4,302598.0,304114.9,298588.1,291743.7,292786.6,299048.9,306145.3,323034.1,350355.6,269734.4,261480.1,260594.6,242344.2,217520.4,195110.7,202853.0,200661.7,194042.1,183319.3,173221.7,163088.4,150106.0,141505.7,136149.6,127290.5,117421.1,103300.3,90414.2,79722.9,69404.3,58855.3,49817.5,41388.0,34373.1,83933.9
England,52.56453,-1.467108403,2016-10-01,female,295359.6,324033.2,329191.0,336772.6,349556.4,348307.9,345440.9,340528.7,344370.5,332834.0,324314.8,317798.2,313278.7,305402.8,295267.0,299414.2,305595.8,315097.7,326216.5,342076.2,347659.1,360885.2,378684.4,393549.6,411634.8,408884.1,420227.3,422984.7,433154.9,425770.5,423541.8,426781.2,414297.3,412920.9,409585.8,408916.8,412792.7,394151.2,365453.2,352150.2,357007.0,358951.7,367909.6,373825.7,390283.5,407262.0,397787.4,403150.5,404740.5,403756.3,406360.2,408838.9,406592.0,396036.5,387322.0,372657.2,359743.8,349946.7,339003.1,328155.4,317318.4,302979.3,302438.5,301100.9,292989.6,291969.5,295469.0,303379.6,315738.3,352176.8,288520.7,256526.3,264592.4,243712.0,224367.1,195601.2,200844.8,201655.0,194860.4,183962.7,174727.8,164070.0,151536.8,141385.7,135608.8,127261.0,118062.7,104612.9,91597.4,79450.4,70065.2,59021.8,49917.1,41491.6,34410.4,85828.6
England,52.56453,-1.467108403,2017-01-01,female,292356.7,325190.9,328635.3,333181.6,349426.1,347547.3,348332.0,343249.6,345587.8,335495.1,328253.9,318513.9,315863.8,308397.9,297601.4,297763.5,305374.6,314707.6,328071.3,340967.5,352446.0,361586.2,381171.0,395826.4,412721.3,408116.9,423312.9,425367.8,433771.3,429650.8,426201.2,427621.7,419008.0,413148.0,411679.4,408280.8,416405.9,398916.8,373170.4,354349.3,357620.2,356662.8,365864.3,371662.1,387267.5,403463.3,403041.9,400872.8,405844.9,403674.7,405328.5,409085.5,409244.8,398034.7,389520.9,374167.1,366291.4,348055.3,342734.2,331685.1,320153.1,304019.9,303342.6,301521.6,295376.7,289155.3,293687.0,300670.8,311354.1,342962.1,310523.7,251547.3,271197.0,244268.9,229896.6,199340.4,197505.0,200978.5,196210.4,184009.7,175831.0,164268.2,153821.5,140004.3,135763.1,126123.8,119123.7,104084.5,92926.3,78713.5,70306.3,58895.3,49721.3,41484.9,33776.0,86919.4
