Country,Region,Latitude,Longitude,extract_date,sex,age_0,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,age_11,age_12,age_13,age_14,age_15,age_16,age_17,age_18,age_19,age_20,age_21,age_22,age_23,age_24,age_25,age_26,age_27,age_28,age_29,age_30,age_31,age_32,age_33,age_34,age_35,age_36,age_37,age_38,age_39,age_40,age_41,age_42,age_43,age_44,age_45,age_46,age_47,age_48,age_49,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89,age_90,age_91,age_92,age_93,age_94,age_95
England,North East,54.73141115,-1.791981336,2014-10-01,female,12613.5,14221.4,15111.9,15197.5,15109.9,14817.4,15324.4,14601.2,14705.7,14260.4,14000.3,13563.5,13211.1,13316.2,13694.4,14220.4,14710.0,15390.4,15398.9,17436.4,18549.2,18879.3,19260.9,19537.4,19404.6,17911.1,18473.8,18311.4,18000.2,17900.3,17274.4,17096.3,17049.4,17222.1,17438.6,16806.8,15215.7,14265.9,15315.6,15164.7,15869.7,16494.8,17724.4,19168.7,18535.6,18735.4,18781.2,19465.6,19658.0,20115.9,20132.5,20119.9,19738.9,19275.3,18622.6,18626.3,18701.6,17885.9,17202.1,16370.5,16190.4,16299.1,15752.7,15800.1,15856.4,16224.7,16886.1,18727.4,15130.0,13426.0,13550.9,12178.4,11288.8,10638.2,11295.3,11222.3,11213.1,10713.4,9861.1,9586.4,8760.3,8269.9,8050.2,7676.2,7202.5,6263.400000000001,5596.3,4858.1,4458.4,3918.9,3290.1,2780.1,2369.5,1998.0,1699.4,3022.2
England,North East,54.73141115,-1.791981336,2015-01-01,female,12417.2,14130.8,14999.2,15141.2,15299.0,14839.4,15257.9,14801.8,14743.9,14363.2,14017.7,13744.4,13317.7,13231.3,13606.5,14172.4,14578.3,15161.0,16396.1,17648.5,18625.0,18956.6,19288.9,19652.3,19736.8,17993.2,18396.0,18396.7,18203.6,17819.0,17466.0,17013.9,17150.3,17091.9,17551.4,17158.8,15621.0,14289.7,15132.2,15182.3,15575.3,16388.1,17302.5,18931.8,18826.5,18584.9,18762.6,19320.5,19504.6,20086.6,20222.8,20176.9,19694.9,19373.9,18848.1,18480.2,18830.1,18089.7,17408.4,16570.9,16164.4,16302.8,15913.3,15634.3,15761.9,16177.4,16705.0,18156.9,16357.7,13062.5,14101.2,12302.8,11560.1,10610.7,11057.4,11154.6,11187.0,10755.8,9979.2,9593.3,8887.6,8134.2,8059.3,7574.7,7285.2,6216.9,5717.8,4730.1,4543.3,3837.1,3348.6,2714.8,2325.9,1998.3,1637.7,3165.6
England,North East,54.73141115,-1.791981336,2015-04-01,female,12409.8,14111.3,14775.8,15319.0,15278.6,15007.4,14983.3,15140.6,14625.7,14422.5,14202.0,13976.9,13275.1,13146.9,13526.3,14166.2,14385.6,15046.6,16220.7,17278.3,18602.1,18985.4,19075.1,19696.1,19758.3,18022.7,18150.0,18747.2,18031.1,17973.9,17615.5,17181.0,17012.8,17090.1,17382.2,17359.6,16024.2,14477.3,14655.7,15399.2,15467.3,16153.0,16926.9,18572.4,18975.5,18401.3,18976.0,18984.0,19602.5,19948.3,20099.1,20189.5,19840.4,19588.9,18897.3,18501.7,18682.5,18397.1,17414.8,16817.6,16263.0,16269.1,15893.0,15648.3,15665.2,16219.2,16322.3,17592.3,17671.2,13359.8,13898.1,12563.6,11672.4,10793.7,10738.5,11126.7,10997.8,10951.2,10014.5,9491.2,8865.7,8247.7,7940.5999999999985,7488.3,7248.5,6225.900000000001,5664.1,4738.4,4395.7,3809.6,3293.3,2681.4,2284.7,1932.9,1517.4,3148.2
England,North East,54.73141115,-1.791981336,2015-07-01,female,12412.7,14069.2,14643.5,15175.4,15350.7,15116.5,14834.7,15351.2,14638.7,14676.8,14170.3,13985.2,13478.7,13112.7,13446.2,13972.7,14338.2,14895.3,15908.9,16943.4,18340.7,19142.5,18769.2,19581.1,19694.5,18056.1,18093.7,18618.3,18125.9,18099.7,17820.8,17163.9,17218.7,17087.7,17164.2,17374.3,16565.6,14856.2,14321.5,15410.9,15422.5,15868.4,16761.0,18113.9,19168.4,18417.4,18731.1,18974.3,19547.9,19781.1,20107.1,20064.3,20045.5,19646.3,19026.4,18565.6,18644.9,18553.0,17606.7,16931.5,16263.3,16218.7,16068.8,15606.4,15647.8,16089.3,16175.4,17096.8,18460.1,13930.3,13399.8,13083.2,11827.6,11062.6,10415.6,11089.0,10933.7,10881.8,10192.3,9367.2,9127.1,8274.7,7849.6,7587.2,7119.0,6485.4,5610.6,4869.1,4293.2,3803.4,3301.8,2748.4,2224.8,1915.9,1513.5,3269.2
England,North East,54.73141115,-1.791981336,2015-10-01,female,12462.2,13998.2,14399.0,15247.4,15287.6,15203.6,14870.7,15406.3,14692.8,14785.4,14328.7,14041.4,13593.3,13218.5,13370.6,13760.5,14390.9,14884.0,15700.4,17027.4,18222.5,18508.5,18981.9,19642.2,19590.0,18414.8,17930.5,18594.8,18373.3,18044.7,17969.0,17329.9,17199.2,17070.5,17231.2,17481.7,16840.3,15259.7,14289.8,15399.3,15203.3,15893.2,16486.9,17721.3,19175.8,18512.6,18709.4,18801.2,19450.1,19628.8,20118.9,20142.2,20084.3,19735.2,19246.7,18621.3,18605.0,18662.4,17825.5,17143.7,16338.9,16099.7,16229.3,15673.0,15699.8,15772.0,16096.0,16721.9,18522.7,14959.3,13208.3,13338.2,11979.6,11091.2,10400.3,11003.8,10901.3,10839.0,10348.3,9486.3,9135.1,8376.8,7817.9,7543.8,7121.2,6602.7,5618.7,4988.4,4237.5,3833.1,3336.3,2744.0,2267.0,1895.2,1541.4,3372.6
England,North East,54.73141115,-1.791981336,2016-01-01,female,12404.8,13810.7,14294.5,15142.3,15228.9,15384.1,14905.8,15334.5,14907.9,14828.6,14429.6,14065.9,13766.4,13324.9,13258.2,13689.7,14283.5,14786.5,16364.2,17722.7,18188.9,18587.7,19068.1,19546.3,19657.0,18782.5,17979.8,18490.8,18421.3,18262.3,17907.3,17492.1,17125.5,17197.4,17111.7,17574.3,17200.6,15632.6,14333.7,15190.1,15213.0,15613.4,16367.0,17336.0,18960.7,18801.6,18569.3,18755.1,19331.2,19466.8,20062.6,20256.0,20155.8,19687.8,19334.9,18851.0,18449.5,18799.2,18009.8,17348.9,16510.7,16080.5,16252.3,15830.9,15543.3,15657.4,16059.9,16554.6,17939.9,16173.4,12879.4,13886.4,12112.3,11333.7,10387.4,10787.1,10849.8,10812.8,10392.1,9605.5,9144.5,8470.7,7711.9,7570.4,7019.9,6692.1,5609.8,5068.3,4171.3,3916.6,3231.4,2821.8,2227.5,1841.3,1557.0,3439.1
England,North East,54.73141115,-1.791981336,2016-04-01,female,12605.7,13760.2,14252.6,14930.6,15434.7,15354.6,15081.2,15084.4,15246.3,14721.6,14476.2,14263.6,13999.7,13307.3,13153.6,13605.4,14249.1,14630.7,15956.1,17730.9,18074.0,18703.5,18961.7,19365.7,19674.0,18807.1,18062.7,18174.6,18664.5,18074.9,18101.2,17648.7,17207.9,17116.7,17164.6,17396.8,17415.9,16057.5,14530.7,14702.1,15434.2,15507.3,16140.8,16941.9,18626.4,18980.7,18372.1,18965.4,18963.0,19589.4,19909.0,20112.0,20207.1,19825.2,19581.9,18918.4,18461.6,18634.5,18354.1,17336.8,16748.7,16200.2,16203.4,15816.2,15554.1,15544.5,16102.0,16190.7,17423.7,17461.2,13166.1,13696.1,12368.5,11451.6,10566.1,10468.2,10829.6,10652.1,10579.6,9660.0,9078.7,8468.6,7831.0,7488.3,6949.2,6680.900000000001,5680.2,5078.3,4206.0,3855.3,3234.1,2828.8,2222.3,1822.0,1554.3,3462.8
England,North East,54.73141115,-1.791981336,2016-07-01,female,12716.4,13734.1,14263.5,14778.3,15301.0,15433.5,15218.2,14914.8,15478.0,14718.1,14761.7,14217.4,14054.1,13510.5,13125.8,13493.6,14027.8,14546.8,15389.3,17631.6,17840.7,18593.4,18985.0,19058.1,19665.4,18753.7,18241.0,18190.3,18557.6,18086.3,18253.2,17910.2,17194.3,17306.4,17134.7,17177.7,17423.2,16623.8,14894.3,14383.1,15469.6,15453.8,15884.0,16783.6,18166.0,19166.4,18361.0,18749.6,18971.2,19553.3,19768.8,20088.9,20079.1,20036.4,19649.4,18999.2,18528.8,18600.0,18506.3,17547.0,16882.0,16198.7,16133.0,15985.7,15497.5,15514.8,15969.8,16026.3,16945.5,18216.7,13748.0,13165.1,12860.9,11616.0,10824.6,10156.7,10802.0,10620.3,10501.5,9838.5,8998.0,8697.0,7862.3,7386.9,7060.9,6548.5,5930.5,5058.8,4291.5,3767.2,3279.9,2788.9,2298.3,1786.6,1541.0,3530.4
England,North East,54.73141115,-1.791981336,2016-10-01,female,12649.2,13799.2,14206.6,14521.4,15338.0,15357.2,15314.5,14959.2,15489.0,14760.4,14855.5,14400.6,14119.1,13638.0,13255.1,13392.2,13804.0,14465.2,14749.2,17108.6,18017.4,18243.4,18546.7,19240.3,19648.5,18639.4,18549.8,18002.0,18533.9,18277.7,18182.6,18093.5,17345.4,17208.4,17140.1,17306.7,17488.1,16876.9,15286.9,14330.4,15429.2,15234.1,15916.0,16492.9,17767.8,19215.0,18463.0,18716.7,18780.6,19425.9,19640.2,20129.0,20147.5,20085.0,19727.2,19223.8,18589.3,18554.8,18605.6,17780.1,17063.8,16312.9,16005.6,16126.2,15569.4,15563.0,15659.9,15924.8,16592.8,18274.3,14781.2,12995.1,13114.6,11761.4,10846.5,10143.5,10715.6,10599.4,10506.4,9967.5,9090.8,8719.4,7943.2,7359.9,7020.7,6558.8,6063.6,5081.7,4394.7,3703.2,3338.2,2807.4,2288.9,1816.5,1486.1,3661.2
England,North East,54.73141115,-1.791981336,2017-01-01,female,12723.7,13912.5,14041.1,14463.2,15264.6,15347.8,15514.2,15027.9,15423.1,14997.6,14895.3,14494.0,14129.6,13832.5,13363.7,13330.2,13787.5,14502.7,16139.6,17744.2,18434.1,18417.7,18863.9,19397.1,19524.4,18707.8,18818.0,18108.1,18455.9,18338.6,18403.8,17995.0,17567.2,17121.2,17303.1,17169.4,17597.6,17241.6,15666.2,14407.4,15210.5,15251.6,15638.8,16398.4,17373.5,18990.1,18806.4,18568.8,18766.2,19325.7,19465.9,20073.1,20258.1,20130.9,19708.7,19362.3,18829.6,18385.7,18753.5,17971.5,17279.3,16472.600000000002,15991.3,16149.9,15715.6,15407.5,15552.1,15895.7,16422.8,17741.2,15960.1,12671.8,13658.6,11869.6,11080.8,10106.7,10474.7,10549.0,10466.2,10023.3,9218.6,8717.8,8048.3,7268.4,7022.3,6487.2,6119.8,5060.7,4483.3,3630.8,3389.7,2742.8,2351.8,1793.5,1420.9,3684.5
